product_catelog,直橫料
product_catelog,一次件
product_catelog,內套鐵
product_catelog,扶手
product_catelog,彎頭
product_catelog,矽膠
product_catelog,螺絲
product_catelog,五金
product_catelog,玻璃
product_catelog,線排
product_catelog,人孔蓋
spec,#304
spec,#316
spec,#410
spec,H1100-H14
spec,3003-H14
spec,3105
spec,6063-T5
spec,6061-T6
spec,A36
operation_flow,加工>組裝>烤漆廠>工地
operation_flow,加工>組裝>工地
operation_flow,加工>烤漆廠>工地
operation_flow,加工>工地
operation_flow,加工>組裝>烤漆廠>中和廠
operation_flow,加工>組裝>中和廠
operation_flow,加工>烤漆廠>中和廠
operation_flow,加工>中和廠
surface_treatment,鍍鋅
surface_treatment,熱浸鍍鋅
surface_treatment,氟碳烤漆
surface_treatment,粉體塗裝
surface_treatment,PVC烤漆
surface_treatment,仿鍍鈦
surface_treatment,陽極
surface_treatment,噴砂
surface_treatment,No.1原面(3t以上用)
surface_treatment,2B霧面
surface_treatment,HL毛絲(*毛絲方向)
surface_treatment,BA亮面
surface_treatment,N.8鏡面

